"","Season","Team","name","pass.att","pass.comp","passyds","pass.tds","rush.att","rushyds","rushtds","recept","recyds","rec.tds","games","total.tds"
"67","2012","CHI","K.Adams",0,0,0,0,0,0,0,1,17,0,1,0
"68","2012","CHI","R.Gould",0,0,0,0,0,0,0,0,0,0,1,0
"69","2012","CHI","I.Idonije",0,0,0,0,0,0,0,0,0,0,1,0
"70","2012","CHI","H.Melton",0,0,0,0,0,0,0,0,0,0,1,0
"71","2012","CHI","C.Conte",0,0,0,0,0,0,0,0,0,0,1,0
"72","2012","CHI","T.Jennings",0,0,0,0,0,0,0,0,0,0,1,0
"73","2012","CHI","D.Moore",0,0,0,0,0,0,0,0,0,0,1,0
"74","2012","CHI","L.Briggs",0,0,0,0,0,0,0,0,0,0,1,0
"75","2012","CHI","M.Toeaina",0,0,0,0,0,0,0,0,0,0,1,0
"76","2012","CHI","B.Urlacher",0,0,0,0,0,0,0,0,0,0,1,0
"77","2012","CHI","G.Hayes",0,0,0,0,0,0,0,0,0,0,1,0
"78","2012","CHI","C.Wootton",0,0,0,0,0,0,0,0,0,0,1,0
"79","2012","IND","L.Brazill",0,0,0,0,0,0,0,1,10,0,1,0
"80","2012","IND","A.Luck",45,23,309,1,2,9,0,0,0,0,1,1
"81","2012","IND","D.Jones",0,0,0,0,0,0,0,1,8,0,1,0
"82","2012","IND","D.Brown",0,0,0,0,9,48,1,0,0,0,1,1
"83","2012","IND","M.Moore",0,0,0,0,0,0,0,1,11,0,1,0
"84","2012","IND","V.Ballard",0,0,0,0,4,6,0,0,0,0,1,0
"85","2012","IND","R.Wayne",0,0,0,0,0,0,0,9,135,0,1,0
"86","2012","IND","C.Fleener",0,0,0,0,0,0,0,6,82,0,1,0
"87","2012","IND","K.Adams",0,0,0,0,0,0,0,2,26,0,1,0
"88","2012","IND","D.Avery",0,0,0,0,0,0,0,3,37,1,1,1
"89","2012","IND","C.Vaughn",0,0,0,0,0,0,0,0,0,0,1,0
"90","2012","IND","A.Vinatieri",0,0,0,0,0,0,0,0,0,0,1,0
"91","2012","IND","A.Bethea",0,0,0,0,0,0,0,0,0,0,1,0
"92","2012","IND","J.Freeman",0,0,0,0,0,0,0,0,0,0,1,0
"93","2012","IND","V.Davis",0,0,0,0,0,0,0,0,0,0,1,0
"94","2012","IND","C.Redding",0,0,0,0,0,0,0,0,0,0,1,0
"95","2012","IND","P.McAfee",0,0,0,0,0,0,0,0,0,0,1,0
"96","2012","IND","J.Powers",0,0,0,0,0,0,0,0,0,0,1,0
"97","2012","IND","R.Mathis",0,0,0,0,0,0,0,0,0,0,1,0
"98","2012","IND","K.Conner",0,0,0,0,0,0,0,0,0,0,1,0
"99","2012","IND","J.King",0,0,0,0,0,0,0,0,0,0,1,0
"100","2012","IND","M.Fokou",0,0,0,0,0,0,0,0,0,0,1,0
"101","2012","IND","T.Zbikowski",0,0,0,0,0,0,0,0,0,0,1,0
"102","2012","IND","M.Harvey",0,0,0,0,0,0,0,0,0,0,1,0
"103","2012","IND","D.Nevis",0,0,0,0,0,0,0,0,0,0,1,0
"104","2012","IND","J.Lefeged",0,0,0,0,0,0,0,0,0,0,1,0
"105","2012","KC","M.Cassel",33,21,258,1,4,20,1,0,0,0,1,2
"106","2012","KC","J.Arenas",0,0,0,0,0,0,0,0,0,0,1,0
"107","2012","KC","S.Breaston",0,0,0,0,0,0,0,2,30,0,1,0
"108","2012","KC","S.Draughn",0,0,0,0,6,29,1,2,12,0,1,1
